| Process Id | Arrival Time | Burst Time | Completion Time | Turn Around Time | Waiting Time | Response Time |
|        466 |          449 |          1 |             451 |                2 |            1 |             1 |
|        467 |           81 |          2 |             751 |              670 |          668 |           668 |
|        469 |          284 |          2 |             754 |              470 |          468 |           468 |
|        474 |          352 |          1 |             353 |                1 |            0 |             0 |
|        476 |           44 |          1 |              49 |                5 |            4 |             4 |
|        479 |           72 |          2 |             769 |              697 |          695 |           695 |
|        482 |          370 |          2 |             778 |              408 |          406 |           406 |
|        487 |          239 |          2 |             781 |              542 |          540 |           540 |
|        489 |          198 |          1 |             199 |                1 |            0 |             0 |
|        494 |          145 |          1 |             147 |                2 |            1 |             1 |
|        499 |            8 |          2 |             784 |              776 |          774 |           774 |
|        504 |          162 |          1 |             163 |                1 |            0 |             0 |
|        508 |          181 |          2 |             789 |              608 |          606 |           606 |
|        512 |          104 |          1 |             107 |                3 |            2 |             2 |
|        513 |          403 |          1 |             405 |                2 |            1 |             1 |
|        514 |          475 |          2 |             792 |              317 |          315 |           315 |
|        521 |          382 |          1 |             384 |                2 |            1 |             1 |
|        533 |          327 |          2 |             795 |              468 |          466 |           466 |
|        535 |          370 |          1 |             372 |                2 |            1 |             1 |
|        540 |          290 |          2 |             798 |              508 |          506 |           506 |
|        545 |          370 |          1 |             374 |                4 |            3 |             3 |
|        546 |           17 |          1 |              27 |               10 |            9 |             9 |
|        558 |          182 |          2 |             805 |              623 |          621 |           621 |
|        560 |           36 |          2 |             808 |              772 |          770 |           770 |
|        565 |           97 |          1 |             109 |               12 |           11 |            11 |
|        568 |          345 |          2 |             821 |              476 |          474 |           474 |
|        578 |          370 |          2 |             838 |              468 |          466 |           466 |
|        585 |          226 |          1 |             229 |                3 |            2 |             2 |
|        586 |          532 |          1 |             533 |                1 |            0 |             0 |
|        590 |          453 |          2 |             843 |              390 |          388 |           388 |
|        591 |          377 |          1 |             378 |                1 |            0 |             0 |
|        595 |          535 |          2 |             846 |              311 |          309 |           309 |
|        597 |           81 |          2 |             855 |              774 |          772 |           772 |
|        601 |          148 |          2 |             860 |              712 |          710 |           710 |
|        602 |            5 |          2 |             887 |              882 |          880 |           880 |
|        619 |          341 |          2 |             890 |              549 |          547 |           547 |
|        620 |          567 |          1 |             569 |                2 |            1 |             1 |
|        623 |          317 |          1 |             318 |                1 |            0 |             0 |
|        627 |          228 |          2 |             899 |              671 |          669 |           669 |
|        638 |          580 |          1 |             581 |                1 |            0 |             0 |
|        641 |          550 |          2 |             902 |              352 |          350 |           350 |
|        645 |          363 |          2 |             905 |              542 |          540 |           540 |
|        650 |          283 |          2 |             910 |              627 |          625 |           625 |
|        654 |          243 |          1 |             245 |                2 |            1 |             1 |
|        675 |          242 |          1 |             243 |                1 |            0 |             0 |
|        677 |          265 |          1 |             267 |                2 |            1 |             1 |
|        678 |          109 |          2 |             915 |              806 |          804 |           804 |
|        679 |          339 |          1 |             340 |                1 |            0 |             0 |
|        687 |          141 |          2 |             918 |              777 |          775 |           775 |
|        692 |           35 |          1 |              51 |               16 |           15 |            15 |
|        694 |          422 |          1 |             423 |                1 |            0 |             0 |
|        696 |          679 |          2 |             923 |              244 |          242 |           242 |
|        698 |          222 |          1 |             223 |                1 |            0 |             0 |
|        701 |          239 |          2 |             926 |              687 |          685 |           685 |
|        706 |          562 |          2 |             945 |              383 |          381 |           381 |
|        709 |          214 |          1 |             215 |                1 |            0 |             0 |
|        713 |          644 |          2 |             948 |              304 |          302 |           302 |
|        714 |          642 |          1 |             645 |                3 |            2 |             2 |
|        718 |          666 |          1 |             667 |                1 |            0 |             0 |
|        724 |          597 |          1 |             599 |                2 |            1 |             1 |
|        737 |           90 |          2 |             969 |              879 |          877 |           877 |
|        749 |          484 |          1 |             486 |                2 |            1 |             1 |
|        755 |           98 |          1 |             111 |               13 |           12 |            12 |
|        757 |           75 |          1 |              77 |                2 |            1 |             1 |
|        760 |          588 |          2 |             976 |              388 |          386 |           386 |
|        763 |          648 |          1 |             649 |                1 |            0 |             0 |
|        765 |          289 |          1 |             293 |                4 |            3 |             3 |
|        769 |          633 |          1 |             635 |                2 |            1 |             1 |
|        777 |          195 |          2 |             979 |              784 |          782 |           782 |
|        779 |          277 |          2 |             984 |              707 |          705 |           705 |
|        781 |          676 |          2 |             991 |              315 |          313 |           313 |
|        782 |          186 |          1 |             187 |                1 |            0 |             0 |
|        783 |          266 |          1 |             269 |                3 |            2 |             2 |
|        788 |           21 |          2 |            1000 |              979 |          977 |           977 |
|        798 |          441 |          1 |             442 |                1 |            0 |             0 |
|        807 |          622 |          1 |             623 |                1 |            0 |             0 |
|        817 |          226 |          1 |             233 |                7 |            6 |             6 |
|        824 |          327 |          1 |             328 |                1 |            0 |             0 |
|        828 |          499 |          1 |             500 |                1 |            0 |             0 |
|        834 |           92 |          1 |              93 |                1 |            0 |             0 |
|        836 |          279 |          1 |             281 |                2 |            1 |             1 |
|        844 |           28 |          1 |              29 |                1 |            0 |             0 |
|        847 |          304 |          1 |             305 |                1 |            0 |             0 |
|        851 |           24 |          1 |              53 |               29 |           28 |            28 |
|        856 |          848 |          1 |             850 |                2 |            1 |             1 |
|        876 |          680 |          1 |             682 |                2 |            1 |             1 |
|        885 |          313 |          1 |             314 |                1 |            0 |             0 |
|        907 |          768 |          1 |             771 |                3 |            2 |             2 |
|        915 |          354 |          1 |             355 |                1 |            0 |             0 |
|        929 |          491 |          1 |             492 |                1 |            0 |             0 |
|        935 |          170 |          1 |             179 |                9 |            8 |             8 |
|        956 |          481 |          1 |             482 |                1 |            0 |             0 |
|        966 |           76 |          1 |              81 |                5 |            4 |             4 |
|        978 |          587 |          1 |             589 |                2 |            1 |             1 |
|       1016 |          311 |          1 |             312 |                1 |            0 |             0 |
|       1020 |          251 |          1 |             253 |                2 |            1 |             1 |
|       1021 |          962 |          1 |             964 |                2 |            1 |             1 |
|       1037 |          204 |          1 |             205 |                1 |            0 |             0 |
|       1049 |          345 |          1 |             347 |                2 |            1 |             1 |
|       1051 |          992 |          1 |             993 |                1 |            0 |             0 |
|       1058 |          615 |          1 |             617 |                2 |            1 |             1 |
|       1060 |          550 |          1 |             552 |                2 |            1 |             1 |
|       1079 |          930 |          1 |             932 |                2 |            1 |             1 |
|       1082 |          599 |          1 |             601 |                2 |            1 |             1 |
|       1086 |          644 |          1 |             647 |                3 |            2 |             2 |
|       1088 |          825 |          1 |             827 |                2 |            1 |             1 |
|       1095 |          130 |          1 |             131 |                1 |            0 |             0 |
|       1109 |          797 |          1 |             800 |                3 |            2 |             2 |
|       1111 |          405 |          1 |             407 |                2 |            1 |             1 |
|       1127 |          315 |          1 |             316 |                1 |            0 |             0 |
|       1136 |          985 |          1 |             986 |                1 |            0 |             0 |
|       1139 |           20 |          1 |              55 |               35 |           34 |            34 |
|       1148 |          968 |          1 |             971 |                3 |            2 |             2 |
|       1157 |          475 |          1 |             477 |                2 |            1 |             1 |
|       1171 |          261 |          1 |             263 |                2 |            1 |             1 |
|       1184 |          623 |          1 |             625 |                2 |            1 |             1 |
|       1192 |          715 |          1 |             716 |                1 |            0 |             0 |
|       1204 |           75 |          1 |              83 |                8 |            7 |             7 |
|       1217 |            3 |          1 |               4 |                1 |            0 |             0 |
|       1218 |           50 |          1 |              57 |                7 |            6 |             6 |
|       1231 |          867 |          1 |             868 |                1 |            0 |             0 |
|       1273 |          831 |          1 |             833 |                2 |            1 |             1 |
|       1281 |          728 |          1 |             729 |                1 |            0 |             0 |
|       1282 |          837 |          1 |             840 |                3 |            2 |             2 |
|       1284 |          524 |          1 |             526 |                2 |            1 |             1 |
|       1288 |          134 |          1 |             137 |                3 |            2 |             2 |
|       1294 |          961 |          1 |             962 |                1 |            0 |             0 |
|       1305 |          145 |          1 |             151 |                6 |            5 |             5 |
|       1307 |          153 |          1 |             155 |                2 |            1 |             1 |
|       1311 |          815 |          1 |             816 |                1 |            0 |             0 |
|       1328 |           70 |          1 |              71 |                1 |            0 |             0 |
|       1342 |          862 |          1 |             864 |                2 |            1 |             1 |
|       1352 |          203 |          1 |             207 |                4 |            3 |             3 |
|       1364 |          646 |          1 |             651 |                5 |            4 |             4 |
|       1365 |           84 |          1 |              87 |                3 |            2 |             2 |
|       1371 |          412 |          1 |             413 |                1 |            0 |             0 |
|       1403 |          386 |          1 |             389 |                3 |            2 |             2 |
|       1425 |          155 |          1 |             157 |                2 |            1 |             1 |
|       1444 |           90 |          1 |              91 |                1 |            0 |             0 |
|       1449 |          368 |          1 |             370 |                2 |            1 |             1 |
|       1451 |          255 |          1 |             257 |                2 |            1 |             1 |
|       1452 |          345 |          1 |             349 |                4 |            3 |             3 |
|       1460 |           19 |          1 |              59 |               40 |           39 |            39 |
|       1480 |          189 |          1 |             191 |                2 |            1 |             1 |
|       1490 |          744 |          1 |             745 |                1 |            0 |             0 |
|       1492 |          316 |          1 |             320 |                4 |            3 |             3 |
