| Process Id | Arrival Time | Burst Time | Completion Time | Turn Around Time | Waiting Time | Response Time |
|       2168 |           12 |          2 |             223 |              211 |          209 |           209 |
|       2247 |           44 |          2 |             772 |              728 |          726 |           726 |
|       2448 |           37 |          1 |             653 |              616 |          615 |           615 |
|       2576 |           47 |          1 |             813 |              766 |          765 |           765 |
|       2609 |            3 |          5 |             848 |              845 |          840 |            46 |
|       2638 |           45 |          2 |             790 |              745 |          743 |           743 |
|       2671 |            5 |          2 |             100 |               95 |           93 |            93 |
|       2738 |           10 |          3 |             186 |              176 |          173 |           173 |
|       2773 |           30 |          2 |             541 |              511 |          509 |           509 |
|       2991 |           25 |          3 |             455 |              430 |          427 |           427 |
|       3103 |            5 |          3 |             103 |               98 |           95 |            95 |
|       3145 |           21 |          1 |             382 |              361 |          360 |           360 |
|       3152 |           58 |          3 |             969 |              911 |          908 |           908 |
|       3184 |           27 |          3 |             483 |              456 |          453 |           453 |
|       3197 |           59 |          3 |             983 |              924 |          921 |           921 |
|       3504 |           31 |          3 |             566 |              535 |          532 |           532 |
|       3657 |           45 |          2 |             792 |              747 |          745 |           745 |
|       4282 |           53 |          3 |             912 |              859 |          856 |           856 |
|       4331 |           18 |          2 |             328 |              310 |          308 |           308 |
|       5003 |           29 |          3 |             523 |              494 |          491 |           491 |
|       6021 |           43 |          1 |             762 |              719 |          718 |           718 |
|       6047 |            3 |          6 |             888 |              885 |          879 |            49 |
|       7024 |            4 |          3 |              79 |               75 |           72 |            72 |
|       7456 |            8 |          2 |             157 |              149 |          147 |           147 |
|       8564 |           30 |          2 |             543 |              513 |          511 |           511 |
|       9220 |           59 |          2 |             991 |              932 |          930 |           930 |
|       9328 |           54 |          2 |             923 |              869 |          867 |           867 |
