| Process Id | Arrival Time | Burst Time | Completion Time | Turn Around Time | Waiting Time | Response Time |
|        462 |           30 |          1 |             957 |              927 |          926 |           926 |
|        465 |           18 |          8 |             554 |              536 |          528 |           528 |
|        470 |           28 |          3 |             877 |              849 |          846 |           846 |
|        486 |           29 |          8 |             915 |              886 |          878 |           878 |
|        499 |            8 |          2 |             245 |              237 |          235 |           235 |
|        515 |           12 |          6 |             385 |              373 |          367 |           367 |
|        522 |            8 |          5 |             250 |              242 |          237 |           237 |
|        530 |            5 |          7 |             178 |              173 |          166 |           166 |
|        542 |           18 |          7 |             561 |              543 |          536 |           536 |
|        546 |           17 |          1 |             516 |              499 |          498 |           498 |
|        556 |           18 |          7 |             568 |              550 |          543 |           543 |
|        566 |            8 |          3 |             253 |              245 |          242 |           242 |
|        593 |           25 |          8 |             808 |              783 |          775 |           775 |
|        598 |           10 |          4 |             318 |              308 |          304 |           304 |
|        602 |            5 |          2 |             180 |              175 |          173 |           173 |
|        605 |           26 |          4 |             831 |              805 |          801 |           801 |
|        607 |           11 |          4 |             361 |              350 |          346 |           346 |
|        624 |            6 |          9 |             220 |              214 |          205 |           205 |
|        715 |           28 |          9 |             886 |              858 |          849 |           849 |
|        788 |           21 |          2 |             674 |              653 |          651 |           651 |
|        801 |           20 |          8 |             627 |              607 |          599 |           599 |
|        825 |           14 |          7 |             411 |              397 |          390 |           390 |
|        841 |           31 |          3 |             985 |              954 |          951 |           951 |
|        844 |           28 |          1 |             887 |              859 |          858 |           858 |
|        851 |           24 |          1 |             745 |              721 |          720 |           720 |
|        857 |           24 |          6 |             751 |              727 |          721 |           721 |
|        868 |           15 |          6 |             471 |              456 |          450 |           450 |
|        877 |           19 |          3 |             599 |              580 |          577 |           577 |
|        973 |           15 |          2 |             473 |              458 |          456 |           456 |
|        990 |           16 |          4 |             500 |              484 |          480 |           480 |
|       1077 |            4 |          4 |             144 |              140 |          136 |           136 |
|       1119 |           21 |          4 |             678 |              657 |          653 |           653 |
|       1135 |           18 |          2 |             570 |              552 |          550 |           550 |
|       1139 |           20 |          1 |             628 |              608 |          607 |           607 |
|       1195 |           10 |          4 |             322 |              312 |          308 |           308 |
|       1217 |            3 |          1 |              90 |               87 |           86 |            86 |
|       1264 |           27 |          4 |             851 |              824 |          820 |           820 |
|       1320 |            7 |          3 |             239 |              232 |          229 |           229 |
|       1347 |           31 |          9 |             994 |              963 |          954 |           954 |
|       1378 |           22 |          2 |             703 |              681 |          679 |           679 |
|       1409 |            8 |          5 |             258 |              250 |          245 |           245 |
|       1460 |           19 |          1 |             600 |              581 |          580 |           580 |
|       1487 |           20 |          6 |             634 |              614 |          608 |           608 |
|       1615 |            8 |          9 |             267 |              259 |          250 |           250 |
|       1669 |           16 |          2 |             502 |              486 |          484 |           484 |
|       1760 |           27 |          1 |             852 |              825 |          824 |           824 |
|       1797 |            3 |          5 |              95 |               92 |           87 |            87 |
|       1809 |           20 |          9 |             643 |              623 |          614 |           614 |
|       1940 |           11 |          3 |             364 |              353 |          350 |           350 |
|       2168 |           12 |          2 |             387 |              375 |          373 |           373 |
|       2237 |           29 |          5 |             920 |              891 |          886 |           886 |
|       2454 |            8 |          5 |             272 |              264 |          259 |           259 |
|       2475 |           11 |          7 |             371 |              360 |          353 |           353 |
|       2609 |            3 |          5 |             100 |               97 |           92 |            92 |
|       2671 |            5 |          2 |             182 |              177 |          175 |           175 |
|       2738 |           10 |          3 |             325 |              315 |          312 |           312 |
|       2750 |           27 |          6 |             858 |              831 |          825 |           825 |
|       2773 |           30 |          2 |             959 |              929 |          927 |           927 |
|       2867 |           18 |          9 |             579 |              561 |          552 |           552 |
|       2876 |           23 |          8 |             729 |              706 |          698 |           698 |
|       2991 |           25 |          3 |             811 |              786 |          783 |           783 |
|       2992 |           15 |          6 |             479 |              464 |          458 |           458 |
|       3094 |           14 |          7 |             418 |              404 |          397 |           397 |
|       3103 |            5 |          3 |             185 |              180 |          177 |           177 |
|       3145 |           21 |          1 |             679 |              658 |          657 |           657 |
|       3159 |           17 |          5 |             521 |              504 |          499 |           499 |
|       3184 |           27 |          3 |             861 |              834 |          831 |           831 |
|       3274 |           31 |          7 |            1001 |              970 |          963 |           963 |
|       3941 |           18 |          8 |             587 |              569 |          561 |           561 |
|       3996 |           21 |          6 |             685 |              664 |          658 |           658 |
|       4128 |           22 |          6 |             709 |              687 |          681 |           681 |
|       4199 |           29 |          4 |             924 |              895 |          891 |           891 |
|       4331 |           18 |          2 |             589 |              571 |          569 |           569 |
|       4529 |           22 |          6 |             715 |              693 |          687 |           687 |
|       4588 |           26 |          8 |             839 |              813 |          805 |           805 |
|       4813 |           24 |          8 |             759 |              735 |          727 |           727 |
|       5003 |           29 |          3 |             927 |              898 |          895 |           895 |
|       5159 |            5 |          9 |             194 |              189 |          180 |           180 |
|       5283 |           29 |          7 |             934 |              905 |          898 |           898 |
|       5327 |            1 |          7 |              33 |               32 |           25 |            25 |
|       5412 |           21 |          4 |             689 |              668 |          664 |           664 |
|       5864 |            9 |          4 |             287 |              278 |          274 |           274 |
|       5885 |           16 |          8 |             510 |              494 |          486 |           486 |
|       6047 |            3 |          6 |             106 |              103 |           97 |            97 |
|       6571 |            1 |          8 |              41 |               40 |           32 |            32 |
|       6918 |            8 |          8 |             280 |              272 |          264 |           264 |
|       7024 |            4 |          3 |             147 |              143 |          140 |           140 |
|       7039 |            6 |          7 |             227 |              221 |          214 |           214 |
|       7456 |            8 |          2 |             282 |              274 |          272 |           272 |
|       7638 |            5 |          8 |             202 |              197 |          189 |           189 |
|       7798 |           14 |          5 |             423 |              409 |          404 |           404 |
|       8015 |           24 |          9 |             768 |              744 |          735 |           735 |
|       8263 |            1 |          9 |              50 |               49 |           40 |            40 |
|       8564 |           30 |          2 |             961 |              931 |          929 |           929 |
|       8571 |           29 |          7 |             941 |              912 |          905 |           905 |
|       8612 |           30 |          8 |             969 |              939 |          931 |           931 |
|       9872 |           19 |          5 |             605 |              586 |          581 |           581 |
|       9962 |           19 |          7 |             612 |              593 |          586 |           586 |
